recno_1,Name_1,RAJ2000,DEJ2000,pmRA,pmDE,PrAll,PrPM,OName,recno_2,Name_2,n_Name,l_WLi,WLi,u_WLi,l_WLiF,WLiF,u_WLiF,TempV,TeffChi,LBol,l_ALi,ALi,e3ALi,Prot,Amp,l_Vsini,Vsini,PClass,LiClass,logLX_Lbol
1,AKI-1-317,58.589973,24.075645,19.7,-46.0,1.0,0.97,AK1A317 HD24463,1,AKI-1-317,,,78.0,,,78.0,,6250,6305,1.95,,2.973,0.085,,,,60.0,--,--,
2,AKII-437,54.921543,23.290886,22.2,-43.7,1.0,0.92,PELS017 HD22680 AK 2437,2,AKII-437,,,142.0,,,142.0,,6250,6304,1.6,,3.406,0.074,,,,29.3,--,--,
3,AKIII-756,55.400673,25.619331,21.1,-44.7,1.0,0.95,PELS023 DH181 AK 3756,3,AKIII-756,,,120.0,,,120.0,,6000,5987,1.5,,2.993,0.077,1.63715883,0.0079,,36.2,A,--,
4,BPL163,56.991825,22.114128,17.74,-39.84,1.0,0.9,--,4,BPL163,,<=,70.0,,<=,70.0,,2800,2755,0.00169,<=,0.353,,,,,,--,--,
5,BPL327,58.846134,24.818094,20.17,-40.73,1.0,0.6,"HHJ I-14, PLZJ78",5,BPL327,,<=,200.0,,<=,200.0,,2700,2681,0.00128,<=,1.166,,,,,,--,--,
6,CFHT-PL-11,56.9125,24.606138,17.29,-41.97,1.0,0.92,Roque16 BRB12 BPL152,6,CFHT-PL-11,,,500.0,,,500.0,,2700,2711,0.0013,,2.769,0.032,,,,,--,--,
7,CFHT-PL-12,58.479584,23.393723,14.72,-38.74,1.0,0.89,BPL294 PLIZ6 BRB9 PLZJ9,7,CFHT-PL-12,,,800.0,,,800.0,,2600,2586,0.00183,,3.334,0.034,,,,,--,--,
8,CFHT-PL-16,56.146667,25.228695,15.63,-42.0,1.0,0.9,PLIZ9,8,CFHT-PL-16,,,1200.0,,,1200.0,,2500,2501,0.00118,,3.567,0.035,,,,,--,--,
9,Calar-03,57.856667,23.755722,15.47,-40.72,1.0,0.92,CFHT-PL-21 BRB14 PLIZ12 BPL235,9,Calar-03,,,1800.0,,,41800.0,,2600,2558,7.6E-4,,3.567,0.033,,,,,--,--,
10,LZJ-50,55.98334,25.607027,16.97,-41.44,1.0,0.93,--,10,LZJ-50,,<=,70.0,,<=,70.0,,2800,2744,0.00174,<=,0.353,,,,,,--,--,
11,PPL-14,56.142925,23.856792,17.0,-38.82,1.0,0.9,--,12,PPL-14,,,350.0,,,350.0,,2700,2706,0.00153,,2.183,0.498,,,,,--,--,
12,PPl-15,57.020084,23.65889,11.75,-36.47,1.0,0.36,NPL35 SHF48 IPMBD23,13,PPl-15,,,500.0,,,1500.0,,2600,2628,0.00168,,2.769,0.144,,,,,--,--,
13,Pels124,53.88203,22.823627,21.0,-44.4,1.0,0.96,PELS124,14,Pels124,,,98.0,,,98.0,,6250,6372,1.73,,3.172,0.079,,,,20.5,--,--,
14,Pels192,58.870853,23.772451,14.61,-40.75,0.99,0.88,PELS192 HCG498,15,Pels192,,,80.0,,,80.0,,4000,3988,0.084,,0.43,0.107,,,,10.0,--,--,
15,Roque13,56.460835,24.150833,15.2,-38.17,1.0,0.89,BPL79 SHF19,16,Roque13,,,2500.0,,,2500.0,,2600,2581,0.0011,,3.567,0.033,,,,,--,--,
16,Teide01,56.82458,24.375528,14.39,-38.91,1.0,0.87,BPL137 NPL39,17,Teide01,,,1000.0,,,1000.0,,2500,2536,6.8E-4,,3.567,0.135,,,,,--,--,
17,Teide02,58.027916,24.266945,18.62,-42.4,1.0,0.85,CFHT-PL-13 BPL254 PLIZ3 PLZJ46 BRB11,18,Teide02,,,770.0,,,1770.0,,2700,2723,0.00135,,3.292,0.216,,,,,--,--,
18,MHObd3,55.475456,23.084862,17.73,-41.19,1.0,0.92,DH174,11,MHObd3,,,800.0,::,,800.0,::,2500,2557,0.00129,,3.334,0.034,,,,,--,--,
19,HCG0332,57.110798,23.191612,23.99,-36.63,0.89,0.07,HCG332 SK362 HHJ339,19,HCG0332,,,900.0,,,900.0,,3000,2904,0.029,,3.461,0.107,,,,58.0,--,--,
20,HII0025,55.729626,24.493065,19.9,-43.2,1.0,0.96,HII25 HD23061 TrR11,20,HII0025,,,81.0,,,57.0,,6500,6481,2.43,,2.931,0.148,,,,44.2,--,--,29.093
21,HII0034,55.76223,24.669737,21.8,-48.8,0.93,0.88,HII34 DH250,21,HII0034,,,166.0,,,134.0,,5000,5075,0.331,,2.118,0.103,6.65058293,0.0197,,5.9,S,--,29.053
22,HII0097,55.860924,24.994333,20.97,-39.43,1.0,0.33,HII97 HCG108 DH266,22,HII0097,Bin?,,74.0,,,75.0,,4500,4586,0.23,,1.106,0.077,6.74947635,0.0354,,6.8,S,--,29.463
23,HII0120,55.88314,23.674074,20.7,-46.7,1.0,0.95,HII120 Tr37,23,HII0120,,,152.0,,,152.0,,5500,5683,0.765,,2.899,0.101,3.99034976,0.0217,,9.4,S,--,
24,HII0129,55.89337,23.761917,20.2,-45.1,0.99,0.94,HII129 Tr041 DH271,24,HII0129,,,176.0,,,176.0,,5250,5253,0.51,,2.573,0.104,5.34002688,0.0181,,5.3,S,--,
25,HII0133,55.903843,24.393944,15.81,-38.9,0.98,0.92,HII133 HCG118 SK625 DH277,25,HII0133,,,55.0,,,55.0,,4100,4194,0.0835,,0.422,0.068,1.3569575,0.078,,16.0,F,--,29.503
26,HII0152,55.907204,23.53601,19.4,-47.8,0.99,0.94,HII152 Tr46,26,HII0152,,,191.2,,,191.2,,5750,5767,0.829,,3.233,0.08,3.887814,0.0332,,11.8,S,--,
27,HII0158,55.93021,24.37455,18.0,-43.9,1.0,0.94,HII158 HD23156 Tr51,27,HII0158,,,36.0,,,36.0,,7500,7535,6.3,,2.72,0.127,,,,33.0,--,--,
28,HII0164,55.928608,23.5948,21.4,-45.6,0.99,0.96,HII164 HD23158 Tr53,28,HII0164,,,67.0,,,59.0,,6500,6405,2.39,,2.889,0.144,,,,38.9,--,--,29.53
29,HII0174,55.951378,25.004387,22.0,-45.7,1.0,0.93,HII174 Tr56,104,HII0174,,,301.0,,,241.0,,5000,4997,0.446,,2.672,0.121,0.47429706,0.0645,,28.0,F,Rich,30.263
30,HII0193,55.961273,24.247465,22.0,-47.4,0.99,0.92,HII193 Tr060,29,HII0193,,,161.5,,,161.5,,5250,5265,0.538,,2.506,0.078,5.38756421,0.0257,,6.8,S,--,29.9
31,HII0250,56.01768,24.989822,16.6,-47.1,0.99,0.88,HII250 Tr080,30,HII0250,Bin?,,166.7,,,166.7,,5750,5655,0.867,,2.96,0.078,4.23218914,0.011,,5.9,S,--,29.463
32,HII0253,56.014748,24.504206,24.4,-45.0,0.99,0.81,HII253 Tr081 DH309,31,HII0253,,,205.0,,,186.0,,5500,5465,0.853,,2.878,0.104,1.47610499,0.0259,,38.2,F,--,30.533
33,HII0263,56.02017,24.275501,14.59,-47.06,1.0,0.31,HII263 Tr089,105,HII0263,Bin?,,252.1,,,252.1,,5000,5007,0.444,,2.761,0.092,4.76537832,0.0989,,7.8,A,Rich,29.873
34,HII0293,56.05798,24.779388,21.2,-46.0,1.0,0.95,HII293 Tr098,32,HII0293,,,125.0,,,125.0,,5500,5565,0.785,,2.617,0.103,3.92988991,0.0153,,5.1,S,--,29.203
35,HII0324,56.09127,24.768408,15.72,-43.32,1.0,0.83,HII324 HCG147 DH328,106,HII0324,Bin?,,202.0,,,210.0,,4400,4389,0.164,,1.639,0.137,0.41188955,0.1306,,73.0,F,Rich,29.923
36,HII0344,56.107113,24.394674,22.7,-48.7,0.99,0.85,HII344 HD23246 Tr121,33,HII0344,,,26.0,,,26.0,,7500,7554,6.7,,2.577,0.177,,,,160.0,--,--,
37,HII0345,56.109486,24.589705,8.79,-56.42,1.0,0.0,HII345 Tr122,107,HII0345,,,271.0,,,245.0,,5000,4959,0.492,,2.647,0.12,0.84290118,0.0231,,18.9,F,Rich,30.233
38,HII0380,56.1559,25.137793,21.0,-38.87,1.0,0.6,HII380 DH349,108,HII0380,,,200.0,,,191.0,,4400,4343,0.138,,1.463,0.107,9.03288129,0.0859,,6.0,S,Rich,
39,HII0405,56.1698,24.818542,17.0,-46.3,1.0,0.91,HII405 HD23269 Tr131,34,HII0405,,,84.0,,,81.0,,6250,6194,1.8,,2.905,0.119,1.92127951,0.0253,,18.2,A,--,29.723
40,HII0430,56.18325,24.231215,22.12,-43.55,1.0,0.24,HII430 Tr137,35,HII0430,,,140.0,,,150.0,,5250,5365,0.485,,2.55,0.104,5.51856881,0.0205,,6.3,S,--,28.8
41,HII0470,56.21348,23.268969,20.4,-42.2,0.99,0.92,HII470 HD23289 Tr149,36,HII0470,Bin?,,83.0,,,62.0,,7000,7048,3.76,,2.99,0.136,,,<,40.0,--,--,
42,HII0489,56.23499,24.432623,14.36,-44.23,1.0,0.57,HII489 Tr153,37,HII0489,,,140.0,,,127.0,,5750,5851,1.068,,2.91,0.102,2.85024983,0.0165,,18.3,A,--,29.393
43,HII0514,56.26669,25.257841,18.0,-43.5,0.98,0.93,HII514 DH370,38,HII0514,,,135.0,,,135.0,,5750,5679,0.879,,2.794,0.102,3.79041574,0.0236,,10.5,S,--,29.283
44,HII0530,56.27201,23.702707,20.3,-44.5,1.0,0.97,HII530 HD23326 Tr163,39,HII0530,Bin?,,76.0,,,61.0,,7000,6918,3.59,,2.981,0.139,,,<,12.0,--,--,
45,HII0531,56.27723,24.263523,20.0,-45.0,1.0,0.97,HII531 HD23325 Tr162,40,HII0531,,,63.0,,,63.0,,7250,7139,4.97,,2.897,0.1,,,,75.5,--,--,29.273
46,HII0627,56.350533,24.885977,19.9,-43.8,1.0,0.96,HII627 HD23352 Tr187,41,HII0627,,,108.0,,,83.0,,6500,6413,2.08,,3.095,0.116,,,,33.2,--,--,29.563
47,HII0636,56.34248,23.471731,16.26,-39.34,1.0,0.93,HII636 Tr190 DH390,42,HII0636,,,152.0,,,152.0,,4750,4779,0.252,,1.847,0.103,7.5025171,0.0154,,3.5,S,--,29.35
48,HII0652,56.358902,24.03514,18.1,-45.1,1.0,0.95,HII652 HD23361 Tr195,43,HII0652,,,21.0,,,21.0,,7750,7669,7.52,,2.475,0.24,,,,186.0,--,--,
49,HII0676,56.373203,23.760529,15.2,-41.75,1.0,0.89,HII676 Tr203 HCG190 DH395,44,HII0676,,,34.0,,,34.0,,4200,4190,0.123,,0.19,0.082,7.0922232,0.0211,,5.5,S,--,
50,HII0686,56.387222,24.303242,15.33,-38.89,1.0,0.91,HII686 Tr206 HCG192,109,HII0686,,,150.0,,,150.0,,4200,4149,0.125,,1.012,0.124,0.39763669,0.1238,,64.0,F,Rich,29.823
